"ID_MGN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_recoleccion","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
47281,3,0,0,4,1,0,100,94.4444444444444,94.4444444444444,0.882352941176471,1.58823529411765,0.176470588235294,0.0294117647058824,2
47282,3,0,1,4,1,1,97.2222222222222,91.6666666666667,97.2222222222222,1.21212121212121,2.39393939393939,0.151515151515152,0.272727272727273,2
47283,3,0,0,4,1,0,94.7368421052632,92.1052631578947,97.3684210526316,1.22222222222222,5.55555555555556,0.222222222222222,0.111111111111111,2
47284,3,0,0,4,1,1,100,90,96.6666666666667,0.96969696969697,1.72727272727273,0.242424242424242,0.0303030303030303,2
47285,3,0,1,4,1,1,100,78.9473684210526,100,0.692307692307692,1.05128205128205,0.205128205128205,0.0512820512820513,2
47286,3,0,0,4,1,0,100,80,100,0.888888888888889,1.83333333333333,0.222222222222222,0.0555555555555556,2
47287,3,0,1,4,1,2,100,76.4705882352941,100,1,1.75675675675676,0.216216216216216,0.108108108108108,2
47288,3,0,1,4,1,2,100,86.3636363636364,95.4545454545455,0.973684210526316,2.07894736842105,0.184210526315789,0.105263157894737,2
47289,3,0,1,4,1,1,97.6744186046512,88.3720930232558,97.6744186046512,0.951612903225806,1.85483870967742,0.209677419354839,0.129032258064516,2
47290,3,0,2,4,1,1,92.3076923076923,80.7692307692308,96.1538461538462,0.631578947368421,3.89473684210526,0.736842105263158,0.315789473684211,2
47291,3,0,1,4,1,2,95.7446808510638,80.8510638297872,97.8723404255319,1.55555555555556,4.16666666666667,0.5,0.722222222222222,2
47292,3,0,1,4,1,1,94.9152542372881,81.3559322033898,100,1.44827586206897,3.10344827586207,0.172413793103448,0.137931034482759,2
47293,3,0,0,4,1,2,95.7446808510638,95.7446808510638,97.8723404255319,1.51515151515152,2.66666666666667,0.212121212121212,0.121212121212121,2
47294,3,0,0,4,1,1,100,88.4615384615385,100,1.28571428571429,5.42857142857143,1.28571428571429,0.571428571428571,2
47295,3,0,1,4,1,2,100,88.2352941176471,100,0.914285714285714,1.31428571428571,0.285714285714286,0.142857142857143,2
47296,3,0,1,4,1,2,100,85.7142857142857,100,0.884615384615385,2.76923076923077,0.384615384615385,0.192307692307692,2
47297,3,0,0,4,1,2,100,71.4285714285714,100,1.34782608695652,2.65217391304348,0.217391304347826,0.130434782608696,2
47298,3,0,0,4,1,1,100,72.7272727272727,100,1,2.31818181818182,0.318181818181818,0.136363636363636,2
47300,3,0,1,4,1,2,96.969696969697,84.8484848484848,96.969696969697,0.836363636363636,1.10909090909091,0.0848484848484849,0.0303030303030303,2
47301,3,0,2,4,1,2,90.9090909090909,100,90.9090909090909,0.824561403508772,1.15789473684211,0.175438596491228,0.087719298245614,1
