"ID_MGN","Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
40235,12,3,0,1,4,0,95.6521739130435,100,86.9565217391304,1.08333333333333,0.583333333333333,0.125,0.166666666666667,0.0416666666666667,1
40236,11,3,0,1,4,0,100,100,87.5,1.375,0.6875,0,0.25,0.0625,1
40237,1,3,0,1,4,0,93.1034482758621,100,86.2068965517241,0.933333333333333,0.916666666666667,0.0166666666666667,0.3,0.0333333333333333,1
40238,0,2,0,1,4,2,96,100,88,1.04651162790698,1.04651162790698,0.0232558139534884,0.162790697674419,0,1
40239,1,2,0,1,4,3,88.8888888888889,100,88.8888888888889,0.785046728971963,0.775700934579439,0.0186915887850467,0.130841121495327,0.0560747663551402,1
40241,27,3,0,1,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.46551724137931,0,0,0.155172413793103,0.0172413793103448,2
40242,1,3,0,3,2,0,81.9044873063313,91.0130610644602,82.8406469895976,0.00796812749003984,0.00398406374501992,0,0.0159362549800797,0.00398406374501992,2
40243,17,2,0,1,2,0,81.9044873063313,91.0130610644602,82.8406469895976,0.62962962962963,0,0.037037037037037,0.148148148148148,0.0740740740740741,1
40244,22,2,0,1,2,0,81.9044873063313,91.0130610644602,82.8406469895976,0.6875,0,0.09375,0.125,0.0625,1
40245,39,3,0,1,3,1,81.9044873063313,91.0130610644602,82.8406469895976,0.629032258064516,0,0.0645161290322581,0.17741935483871,0.0483870967741935,1
40246,35,3,0,1,3,1,100,100,100,0.460526315789474,0,0.0263157894736842,0.144736842105263,0.0131578947368421,1
40247,25,3,0,1,4,0,81.9044873063313,91.0130610644602,82.8406469895976,0.581395348837209,0,0.0465116279069767,0.186046511627907,0.0465116279069767,1
40248,27,3,0,1,4,0,81.9044873063313,91.0130610644602,82.8406469895976,0.675,0,0.075,0.225,0,1
40249,22,3,0,0,4,0,100,100,100,0.578947368421053,0,0.0789473684210526,0.184210526315789,0.0526315789473684,1
40250,25,3,0,0,4,0,92.8571428571429,100,85.7142857142857,0.609756097560976,0,0.0731707317073171,0.170731707317073,0.0487804878048781,1
40251,62,3,0,1,0,3,100,100,100,0.898550724637681,0,0.565217391304348,0.130434782608696,0.0289855072463768,2
40252,39,3,0,1,2,0,81.9044873063313,91.0130610644602,82.8406469895976,0.769230769230769,0.0192307692307692,1.57692307692308,0.192307692307692,0.0384615384615385,1
