"ID_MGN","Movilidad_RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
46359,0,3,0,2,4,1,0,100,100,100,0.916666666666667,0.916666666666667,1.75,0.25,0.0416666666666667,1
46360,0,3,0,2,4,1,0,80,80,100,1.04081632653061,1.04081632653061,1.85714285714286,0.204081632653061,0.0612244897959184,1
46361,0,3,0,2,4,1,1,85.7142857142857,85.7142857142857,100,0.655172413793103,0.655172413793103,1.31034482758621,0.206896551724138,0.0689655172413793,1
46362,0,3,0,1,4,1,1,100,100,95.6521739130435,0.365079365079365,0.0317460317460317,0.904761904761905,0.246031746031746,0.0714285714285714,1
46363,0,3,0,0,4,1,1,100,100,92.3076923076923,0.666666666666667,0.0555555555555556,1.72222222222222,0.611111111111111,0.222222222222222,1
46364,0,3,0,0,4,1,0,100,100,90.9090909090909,0.71875,0,1.8125,0.1875,0.03125,1
46365,0,3,0,1,4,1,0,95.2578097608821,91.2189208163899,98.3623185325594,0.545454545454545,0,1.95454545454545,0.318181818181818,0.0909090909090909,1
46366,0,3,0,1,4,1,1,100,100,88.8888888888889,0.75609756097561,0.024390243902439,1.58536585365854,0.24390243902439,0.0975609756097561,1
46367,0,3,0,2,4,1,0,100,100,100,0.613207547169811,0.00943396226415094,0.773584905660377,0.283018867924528,0.0660377358490566,1
46368,0,3,0,3,4,1,0,100,100,100,0.64,0,1.24,0.84,0.16,1
46369,1,3,0,3,4,1,2,100,96.1538461538462,100,0.444444444444444,0,2.55555555555556,1.22222222222222,0.555555555555556,1
46370,1,3,0,1,4,1,1,100,100,100,0.942857142857143,0,1.54285714285714,0.228571428571429,0.171428571428571,1
46371,0,2,0,1,0,1,0,100,100,100,1,0,3,0.416666666666667,0.0833333333333333,1
46372,0,3,0,1,4,1,0,100,100,100,1,0,13,5,0,1
46373,0,3,0,1,4,1,0,100,100,100,0.85,0,1.6,0.55,0.1,1
46377,0,3,0,2,4,1,0,80,100,100,1.04901960784314,1.02941176470588,1.42156862745098,0.196078431372549,0.0392156862745098,1
46378,0,3,0,2,4,1,0,100,100,100,0.531645569620253,0.531645569620253,0.835443037974684,0.10126582278481,0.0253164556962025,1
46379,0,1,0,2,3,1,1,100,100,100,0.683333333333333,0.683333333333333,1.46666666666667,0.133333333333333,0.0333333333333333,1
46380,0,1,0,2,3,1,1,100,100,100,0.728813559322034,0.728813559322034,1.33898305084746,0.152542372881356,0.0338983050847458,1
46381,0,1,0,2,4,1,1,100,100,100,0.75,0.75,1.72222222222222,0.305555555555556,0.0833333333333333,1
46382,0,3,0,2,4,1,4,77.7777777777778,77.7777777777778,100,1.1044776119403,1.09701492537313,1.23134328358209,0.201492537313433,0.0597014925373134,1
46383,0,3,0,2,4,1,0,100,100,100,0.723404255319149,0.723404255319149,1.31914893617021,0.25531914893617,0.0638297872340425,1
