"Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_Valorizables","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific"
3,0,0,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.71875,0,1.71875,1.71875,0.09375
3,0,1,4,0,1,2,100,100,100,0.735294117647059,0,2.14705882352941,2.14705882352941,0.0882352941176471
3,0,1,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,2.11363636363636,0,1.36363636363636,1.36363636363636,0.136363636363636
3,0,1,4,0,1,1,83.3333333333333,100,100,0.612903225806452,0,1.04838709677419,1.04838709677419,0.032258064516129
3,0,1,4,0,1,2,87.5,100,87.5,0.666666666666667,0,1.51282051282051,1.51282051282051,0.0512820512820513
3,0,1,4,0,1,1,88.8888888888889,100,88.8888888888889,0.5,0,8.83333333333333,8.83333333333333,0.833333333333333
2,0,1,4,0,1,2,100,100,75,0.720588235294118,0,1.35294117647059,1.35294117647059,0.0735294117647059
3,0,1,4,0,1,0,60,100,100,0.4,0,1.6,1.6,0.04
3,0,1,4,0,1,0,100,100,100,0.588235294117647,0,1.11764705882353,1.11764705882353,0.0147058823529412
3,0,1,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.653846153846154,0,1.5,1.5,0.0192307692307692
3,0,1,4,0,1,1,100,100,100,1.78846153846154,0,1.25,1.25,0.0576923076923077
3,0,1,4,0,1,1,100,100,100,0.944444444444444,0,2.02777777777778,2.02777777777778,0.111111111111111
3,0,1,4,0,1,1,85.7142857142857,100,71.4285714285714,0.959183673469388,0,1.59183673469388,1.59183673469388,0.0204081632653061
3,0,1,4,0,1,2,100,100,83.3333333333333,0.7,0,1.325,1.325,0.05
3,0,1,4,0,1,1,100,100,75,0.465116279069767,0,1.97674418604651,1.97674418604651,0.0930232558139535
3,0,2,4,0,1,2,66.6666666666667,100,100,0.614457831325301,0.072289156626506,1.01204819277108,1.01204819277108,0.0481927710843374
3,0,1,4,0,1,0,71.4285714285714,100,100,1.5,0,35,35,2
3,0,2,4,1,1,3,78.5714285714286,92.8571428571429,100,0.738095238095238,0.0238095238095238,1.4047619047619,1.4047619047619,0.0595238095238095
3,0,0,4,1,1,0,100,100,100,0.666666666666667,0.166666666666667,1.91666666666667,1.91666666666667,0.0833333333333333
3,0,0,4,1,1,0,33.3333333333333,100,100,0.954545454545455,0.0454545454545455,2.13636363636364,2.13636363636364,0.136363636363636
3,0,1,4,1,1,0,66.6666666666667,100,100,1.09090909090909,0.0454545454545455,2.59090909090909,2.59090909090909,0.0909090909090909
3,0,1,4,0,1,3,90.4139306971725,94.1993862767545,90.9256440514256,0.672727272727273,0,1.70909090909091,1.70909090909091,0.0727272727272727
3,0,1,4,0,1,1,90.4139306971725,94.1993862767545,90.9256440514256,0.627118644067797,0,1.1864406779661,1.1864406779661,0.0169491525423729
3,0,3,4,0,1,2,100,100,100,0.816326530612245,0,1.3469387755102,1.3469387755102,0.0306122448979592
3,0,1,4,0,1,0,66.6666666666667,100,66.6666666666667,0.459459459459459,0,1.51351351351351,1.51351351351351,0.108108108108108
3,0,2,4,0,1,1,80,100,80,0.6,0,1.57777777777778,1.57777777777778,0.0222222222222222
3,0,2,4,0,1,0,80,100,80,0.675675675675676,0,1.45945945945946,1.45945945945946,0.0540540540540541
3,0,2,4,0,1,0,100,100,100,0.544303797468354,0,1.10126582278481,1.10126582278481,0.0379746835443038
3,0,1,4,0,1,2,100,100,100,0.826923076923077,0,2.07692307692308,2.07692307692308,0.115384615384615
3,0,1,4,0,1,0,100,100,100,0.666666666666667,0,1.31372549019608,1.31372549019608,0.0392156862745098
