"ID_MGN","inundaciones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_noValorizables","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
11934,1,3,0,1,4,1,2,100,100,100,0.587155963302752,0,0.403669724770642,0.146788990825688,0.0275229357798165,2
11935,1,3,0,1,4,1,0,100,100,100,0.618181818181818,0,0.763636363636364,0.145454545454545,0.0363636363636364,2
11936,0,3,0,1,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,0.5,0,0.296875,0.1875,0.015625,1
11937,0,3,0,1,4,1,0,82.2686487719647,84.743934697425,87.8672228878967,1.29411764705882,0,0.0588235294117647,0.352941176470588,0.117647058823529,1
11938,0,3,0,1,4,1,0,100,85.7142857142857,100,0.64,0,0.02,0.26,0.08,1
11939,1,3,0,0,4,1,0,100,75,100,0.833333333333333,0,0.0333333333333333,0.333333333333333,0.0333333333333333,2
11940,1,3,0,3,4,1,2,100,100,100,0.560240963855422,0,0.174698795180723,0.180722891566265,0.036144578313253,2
11941,1,3,0,1,4,1,1,100,100,100,0.591836734693878,0,0.0408163265306122,0.26530612244898,0.0408163265306122,2
11942,0,3,0,1,4,1,2,100,88.8888888888889,100,1.41818181818182,0,1.12727272727273,0.163636363636364,0.0727272727272727,1
11943,0,3,0,1,4,1,2,100,90,100,1.5049504950495,0,0.346534653465347,0.168316831683168,0.0693069306930693,1
11944,0,3,0,1,4,1,2,100,75,100,0.522388059701492,0,0.104477611940299,0.208955223880597,0.0597014925373134,1
