"ID_MGN","inundaciones","RVN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Electricidad_medidoresIntel_edific","Electricidad_postes_edific","Electricidad_transform_edific","cluster"
26874,0,0,3,0,1,4,1,1,100,100,100,2.47368421052632,0.631578947368421,0,2
26879,0,0,3,1,2,4,1,3,100,100,100,1.03954802259887,0.146892655367232,0,2
26883,0,0,3,0,1,3,1,1,100,100,100,1.89473684210526,0.473684210526316,0,2
26885,0,0,3,0,1,4,1,1,100,75,100,1.9,0.5,0,2
26890,0,0,1,0,2,4,1,1,100,66.6666666666667,66.6666666666667,1.62068965517241,0.275862068965517,0,2
26893,0,0,3,0,3,4,1,2,87.5,62.5,100,1.17021276595745,0.25531914893617,0.0212765957446809,2
26895,0,0,3,0,2,5,1,2,88.8888888888889,77.7777777777778,88.8888888888889,1.32692307692308,0.278846153846154,0.0192307692307692,2
26896,0,0,3,0,2,5,1,2,83.3333333333333,66.6666666666667,83.3333333333333,2,3,2,2
26897,0,0,2,0,2,4,1,1,100,100,100,3.05555555555556,0.5,0,2
26899,0,0,2,0,2,4,1,0,100,66.6666666666667,66.6666666666667,1.89189189189189,0.297297297297297,0,2
26900,0,0,1,1,2,4,1,1,100,66.6666666666667,66.6666666666667,2.24,0.32,0,2
26902,0,0,2,1,2,4,1,2,33.3333333333333,83.3333333333333,83.3333333333333,1.20491803278689,0.221311475409836,0,2
26916,0,0,3,1,3,3,1,2,50,50,50,1.14285714285714,0.142857142857143,0.0317460317460317,2
26917,0,1,3,1,3,4,1,3,75,87.5,87.5,0.971428571428571,0.161904761904762,0.0476190476190476,2
26918,0,1,3,1,2,4,1,3,64.5161290322581,70.9677419354839,74.1935483870968,0.274193548387097,0.274193548387097,0.0483870967741935,2
